index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
2516,Dairy Queen,Fast Food,85022,Phoenix,12641 N Cave Creek Rd,33.602.194,-11.203.647,2018-06-14T19:49:47Z,http://www.dairyqueen.com and http://dairyqueen.com/
2517,Dairy Queen,Fast Food Restaurants,85022,Phoenix,12641 N Cave Creek Rd,33.602.194,-11.203.647,2018-06-14T19:49:47Z,http://www.dairyqueen.com and http://dairyqueen.com/
2518,Dairy Queen,Fast Food Restaurants,85367,Yuma,11274 S Fortuna Rd,32.663.295,-114.444.157,2018-06-14T19:49:43Z,http://dairyqueen.com
2519,Pizza Inn,Fast Food Restaurants,77086,Houston,11003 Antoine Dr,29.936.407,-95.483.312,2018-06-14T19:48:20Z,http://www.pizzainn.com and http://t.co/Qf3xX3poYU
2520,Subway,Fast Food Restaurants,6786,Terryville,311 Main St,41.679.717,-73.019.311,2018-06-14T19:48:15Z,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ2w-Fd98LEyEN4-x9AHzrr61cV4dfYiKkaFdsXPnVwKS6C5NhOjCB6-kIi9ZBdd7z9Y6BeJJcgumTKQkeg5o2d4UhM7qRJU6ogfV3Xd7GxEzbeByhpqMx8Vxu_0rXn4S16_Coe-vc8NuceFLH0bFkavFWugybW9YDDDJp3LBAi2v-HYxhLdvTUyT7pxG02RjTozCQbHCmV1a5NcVvNiAA5MbT0OGNWSAgqnR5Y2jCMGDQBnA5J9nytx2b_4Dd1KsymrrT1vwPqknWg_zCQwv2vNFtNoyK5EmnwS4s7mPCDwe_B8ZAPk6f3toeF0q8x6gKzhtystgHEKHBo7UqwSaLiFRuP-aXXLbR&placement=listing_profile&cs_user=unknown&cs_session=40cabacfb813be7771710b0f7669a094b182b59a and http://www.subway.com
2521,Subway,Fast Food Restaurants,6357,Niantic,283 Main St,41.323.079,-72.194.393,2018-06-14T19:48:14Z,http://www.subway.com
2522,Subway,Fast Food Restaurants,6040,Manchester,215 Spencer St,41.766.827,-72.570.593,2018-06-14T19:48:11Z,http://www.subway.com and http://subway.com
2523,Subway,Fast Food Restaurants,6514,Hamden,2300 Dixwell Ave,41.372.832,-72.916.912,2018-06-14T19:48:11Z,http://subway.com and http://www.subway.com
2524,Subway,Fast Food Restaurants,6120,Hartford,140 Weston St,41.790.279,-72.660.763,2018-06-14T19:48:06Z,http://www.subway.com
2525,Subway,Fast Food Restaurants,6032,Farmington,1426 Farmington Ave,41.745.027,-72.861.334,2018-06-14T19:48:05Z,http://www.subway.com
