index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
0,SONIC Drive In,American Restaurant and Fast Food Restaurant,70301,Thibodaux,800 N Canal Blvd,29.814.697,-90.814.742,2018-06-26T03:00:14Z,https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html and http://sonicdrivein.com and http://www.sonicdrivein.com
1,SONIC Drive In,Fast Food Restaurants,70301,Thibodaux,800 N Canal Blvd,29.814.697,-90.814.742,2018-06-26T03:00:14Z,https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html and http://sonicdrivein.com and http://www.sonicdrivein.com
2,Taco Bell,Fast Food Restaurant,37863,Pigeon Forge,206 Wears Valley Rd,35.803.788,-83.580.553,2018-06-26T02:59:52Z,http://www.tacobell.com and https://locations.tacobell.com/tn/pigeon-forge/206-wears-valley-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026432andutm_content=website
3,Arby's,Fast Food,37863,Pigeon Forge,3652 Parkway,35.782.339,-83.551.408,2018-06-26T02:59:51Z,http://www.arbys.com and https://locations.arbys.com/us/tn/pigeon-forge/3652-parkway.html
4,Steak 'n Shake,Fast Food Restaurant,30260,Morrow,2118 Mt Zion Parkway,33.562.738,-84.321.143,2018-06-26T02:59:43Z,http://www.steaknshake.com/locations/23851-steak-n-shake-mt-zion-parkway-morrow
5,Wendy's,Fast Food Restaurant,48204,Detroit,9768 Grand River Ave,42.368.823,-83.138.251,2018-06-26T02:59:43Z,http://www.wendys.com
6,Burger King,Fast Food Restaurant,48235,Detroit,13600 W McNichols Rd,42.416.819,-83.180.444,2018-06-26T02:59:43Z,http://bk.com and http://www.bk.com
7,Chipotle Mexican Grill,Fast Food,92056,Oceanside,4111 Oceanside Blvd,33.205.722,-117.288.645,2018-06-26T02:59:41Z,http://www.chipotle.com and http://www.lasalsa.com
8,7-Eleven,Fast Food Restaurants,11901,Riverhead,162 Old Country Rd,40.937.359,-72.650.142,2018-06-26T02:59:32Z,http://www.7-eleven.com/?yext=39326 and http://www.7-eleven.com
9,Dairy Queen,Fast Food Restaurant,79756,Monahans,1407 S Stockton Ave,31.580.721,-102.891.455,2018-06-25T12:05:40Z,http://www.dairyqueen.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJqRG97esP_MxDChA8jm1fugloTMDPF7zOe73z7Rzg5g9Epb5tslb4Ce2O9bVs-3osjI7W1LXK0P8-ceZJLb_Zm0NuJ46OZRPXqASUtjZowHbqYHz_KHREl3SRL-RlGbE5woot3O2zSqAWVHg-OlWhMHHJ9TR1jaOXMbzQAnUcZehcpq17Fx8TdD5LnknOH2OhntcYkp-Hmhc2uj_O6yVorIqEVf5Z62kWufiQ_mpIyS3EC2lcbYW-Qo4k6KLlDUXBhz61tD0Ed-XxpaLD24rGhItu5TjcLVVa3Tx4vbMdbUZcI1ZgYjFCwkqBDsIe7zQCbZJ1aOHgTBcCkHjLqSMEJ-VSSeMC2Y1vDdmeULpiA18&placement=listing_profile&cs_user=unknown&cs_session=9e084e19d8cf38f4a2ac131f1e6b96b494a6e801
10,Dairy Queen,Fast Food Restaurant and Ice Cream Shop,75147,Mabank,208 W Mason St,3.236.602,-96.103.364,2018-06-25T12:05:39Z,http://dairyqueen.com
11,Dairy Queen,Ice Cream Shop and Fast Food Restaurant,77459,Missouri City,5801 Highway 6,29.570.079,-95.568.166,2018-06-25T12:05:39Z,http://www.dairyqueen.com
12,Mr. Hero,Fast Food Restaurant,44319,Akron,3454 Manchester Rd,41.005.682,-81.555.774,2018-06-25T12:05:35Z,http://mrhero.com
13,Golden Chick,Fast Food Restaurants,76448,Eastland,1500 E Main St,32.401.088,-98.790.162,2018-06-25T12:05:18Z,http://locations.goldenchick.com/tx/eastland/1202 and http://goldenchick.com
14,Carl's Jr,Fast Food Restaurant,91702,Azusa,1190 W Foothill Blvd,34.133.291,-117.924.566,2018-06-25T09:32:43Z,http://www.carlsjr.com and http://www.carlsjr.com/
15,Checkers,Fast Food Restaurants,29483,Summerville,601 N Main St,33.026.572,-80.169.733,2018-06-25T09:32:32Z,https://locations.checkers.com/sc/summerville/601-n.-main-st. and https://www.checkers.com and http://www.checkers.com
16,Rally's,Fast Food,43616,Oregon,1927 Woodville Road,41.627.298,-83.502.436,2018-06-25T09:32:30Z,http://rallys.com/
17,Togo's,Fast Food,90045,Los Angeles,6316 W 89th St,33.955.923,-118.396.443,2018-06-25T09:31:55Z,http://www.togosspeedlunch.com/
18,Rally's,Fast Food Restaurants,39208,Pearl,3105 Highway 80 E,32.282.328,-9.011.677,2018-06-25T09:30:55Z,https://locations.rallys.com/ms/pearl/3105-highway-80-e-%C2%A0
19,Checkers,Fast Food Restaurant,49512,Grand Rapids,2860 E Paris Ave SE,4.291.147,-8.556.812,2018-06-25T09:30:54Z,https://locations.checkers.com/mi/kentwood/2860-e-paris-ave-se and https://www.checkers.com and https://www.checkers.com/ and http://www.checkers.com
20,Rally's,Fast Food Restaurant,46176,Shelbyville,2424 E State Road 44,39.523.704,-85.743.659,2018-06-25T09:30:52Z,https://locations.rallys.com/in/shelbyville/2424-e.-state-road-44 and http://www.checkers.com and http://rallys.com and http://checkers.com
21,Checkers,Fast Food,11207,Brooklyn,1611 Broadway,40.685.506,-73.914.457,2018-06-25T09:30:50Z,https://locations.checkers.com/ny/brooklyn/1611-broadway and http://checkers.com and http://www.checkers.com
22,Checkers,Fast Food Restaurants,30904,Augusta,1720 Walton Way,33.475.292,-81.995.946,2018-06-25T09:30:50Z,https://locations.checkers.com/ga/augusta/1720-walton-way and https://www.checkers.com
23,Checkers,Fast Food Restaurant,48227,Detroit,17620 Grand River Ave,42.400.037,-8.321.574,2018-06-25T09:30:50Z,https://locations.checkers.com/mi/detroit/17620-grand-river-ave
24,Little Q Hot Pot,Fast Food Restaurants,2474,Arlington,196 Massachusetts Ave,42.405.651,-7.114.212,2018-06-25T09:30:22Z,http://littleqhotpotma.com
25,McDonald's,Fast Food,12304,Schenectady,1224 State St,4.279.792,-73.924.364,2018-06-25T09:29:45Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
26,McDonald's,Fast Food Restaurant,12401,Kingston,1232 Ulster Ave,41.967.079,-73.988.583,2018-06-25T09:29:45Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
27,McDonald's,Fast Food Restaurant,10036,New York,1188 Avenue of The Americas,40.757.558,-73.981.671,2018-06-25T09:29:44Z,http://mcdonalds.com/
28,McDonald's,Fast Food Restaurant,10002,New York,114 Delancey St,40.718.943,-73.988.306,2018-06-25T09:29:43Z,http://mcdonalds.com
29,McDonald's,Fast Food Restaurants,11553,Uniondale,1050 Front St,40.709.646,-73.591.453,2018-06-25T09:29:41Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
30,McDonald's,Fast Food Restaurant,11753,Jericho,105 Jericho Tpke,40.780.233,-7.355.934,2018-06-25T09:29:41Z,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4RT9UEBPO-64wX56BjzHLd30Vtc-E6tRn5Qu0eRc_DBQJlwYp8xTFBgQya-MzslAXqjYZJM60OQr_B_qw5j5R4po2lD4Bp7jBUJxb4mT_1yq0HrpM06V32safH8oc3ObTxX9_UKu9KEaQ7a5AB3RPweBodwruhmy6MJ1E0Fxm24zDrEGC31jcXkhlbSnNd5qVXz9k4rQUcMgo15OqXI_h7YvMn1AbfZSc1vKFfhUKB4xYwesNPYNLOd-O1d7LqWAuRfdmk9LpXp9Q4zcDWkNf4C7MeEajoEYfZru37-IFNUxi-19j6W-OiKcOftcd_UqL7Hf-CAQngzLDAOT2PALtFvXhDiuE0gq5&placement=listing_profile.c&cs_user=unknown&cs_session=fa3e41570a83c445cc822273e5417e8878250b09 and http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
31,McDonald's,Fast Food,11753,Jericho,105 Jericho Tpke,40.780.233,-7.355.934,2018-06-25T09:29:41Z,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4RT9UEBPO-64wX56BjzHLd30Vtc-E6tRn5Qu0eRc_DBQJlwYp8xTFBgQya-MzslAXqjYZJM60OQr_B_qw5j5R4po2lD4Bp7jBUJxb4mT_1yq0HrpM06V32safH8oc3ObTxX9_UKu9KEaQ7a5AB3RPweBodwruhmy6MJ1E0Fxm24zDrEGC31jcXkhlbSnNd5qVXz9k4rQUcMgo15OqXI_h7YvMn1AbfZSc1vKFfhUKB4xYwesNPYNLOd-O1d7LqWAuRfdmk9LpXp9Q4zcDWkNf4C7MeEajoEYfZru37-IFNUxi-19j6W-OiKcOftcd_UqL7Hf-CAQngzLDAOT2PALtFvXhDiuE0gq5&placement=listing_profile.c&cs_user=unknown&cs_session=fa3e41570a83c445cc822273e5417e8878250b09 and http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
32,McDonald's,Fast Food Restaurants,12205,Albany,106 Wolf Rd,42.716.812,-73.809.319,2018-06-25T09:29:41Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
33,McDonald's,Fast Food,10452,Bronx,101 E 170th St,40.839.569,-73.915.927,2018-06-25T09:29:40Z,http://mcdonalds.com and http://mcdonalds.com/
34,McDonald's,Fast Food,12303,Schenectady,103 Brookview Dr,42.741.061,-73.913.673,2018-06-25T09:29:40Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
35,McDonald's,Fast Food Restaurants,14220,Buffalo,1028 Mckinley Pkwy,42.857.899,-78.825.089,2018-06-25T09:29:40Z,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://mcdonalds.com
36,McDonald's,Fast Food Restaurants,14150,Tonawanda,10 Main St,43.021.019,-78.878.167,2018-06-25T09:29:39Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
37,McDonald's,Fast Food,1801,Woburn,300 Mishawum Rd,42.503.903,-71.132.748,2018-06-25T09:29:38Z,http://mcdonalds.com and http://www.mcdonalds.com
38,McDonald's,Fast Food Restaurant,1588,Whitinsville,1190 Providence Rd,42.125.526,-71.645.913,2018-06-25T09:29:37Z,http://www.mcdonalds.com
39,McDonald's,Fast Food,1887,Wilmington,212 Main St,42.557.448,-71.181.499,2018-06-25T09:29:37Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
40,McDonald's,Fast Food,1570,Webster,44 E Main St,42.055.826,-71.873.999,2018-06-25T09:29:36Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
41,McDonald's,Fast Food,2451,Waltham,789 Main St,42.376.247,-71.241.667,2018-06-25T09:29:36Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
42,McDonald's,Fast Food Restaurant,1469,Townsend,20 Main St,42.650.503,-71.662.674,2018-06-25T09:29:35Z,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://mcdonalds.com
43,McDonald's,Fast Food Restaurant,2081,Walpole,595 Main St,42.157.222,-71.243.549,2018-06-25T09:29:35Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
44,McDonald's,Fast Food,2780,Taunton,282 Winthrop St,4.188.896,-71.120.789,2018-06-25T09:29:34Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
45,McDonald's,Fast Food,1104,Springfield,660 Liberty St,4.212.193,-72.584.242,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
46,McDonald's,Fast Food Restaurants,1105,Springfield,360 Main St,42.091.561,-72.579.647,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
47,McDonald's,Fast Food Restaurants,1107,Springfield,2392 Main St,42.111.552,-72.603.359,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
48,McDonald's,Fast Food Restaurant,1118,Springfield,1402 Allen St,42.095.053,-72.512.539,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://www.mcdonalds.com
49,McDonald's,Fast Food Restaurants,1129,Springfield,1610 Boston Rd,42.142.989,-7.248.923,2018-06-25T09:29:33Z,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
50,McDonald's,Fast Food Restaurants,1562,Spencer,59 W Main St,4.223.341,-72.012.516,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
51,McDonald's,Fast Food,1562,Spencer,59 W Main St,4.223.341,-72.012.516,2018-06-25T09:29:33Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
52,Five Guys,Fast Food Restaurant,33174,Miami,1433 SW 107th Ave,25.754.984,-80.368.058,2018-06-25T09:29:22Z,http://fiveguys.com
53,Taco Bell,Fast Food Restaurant and Mexican Restaurant,75098,Wylie,1601 W Kirby St,33.007.329,-96.554.127,2018-06-25T09:28:10Z,http://www.tacobell.com
54,Taco Bell,Fast Food Restaurant,75703,Tyler,7425 S Broadway Ave,32.274.786,-95.306.757,2018-06-25T09:28:08Z,https://locations.tacobell.com/tx/tyler/7425-s--broadway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028285andutm_content=website and http://www.tacobell.com
55,Burger King,Fast Food Restaurants,65203,Columbia,100 Business Loop 70 E,38.964.944,-92.336.364,2018-06-25T09:27:52Z,https://locations.bk.com/mo/columbia/100-east-bus-loop-70.html
56,Wendy's,Fast Food Restaurant and Burger Joint,31401,Savannah,615 Martin Luther King Jr Blvd,32.070.343,-81.101.032,2018-06-25T09:26:55Z,http://www.wendys.com
57,Wendy's,Fast Food Restaurant and Burger Joint,30062,Marietta,1123 Roswell Rd,3.395.111,-84.518.962,2018-06-25T09:26:53Z,http://www.wendys.com
58,Wendy's,Fast Food Restaurants,30253,McDonough,273 Keys Ferry St,33.446.887,-84.138.326,2018-06-25T09:26:53Z,http://www.wendys.com
59,Wendy's,Fast Food Restaurant,30655,Monroe,1117 W Spring St,33.792.748,-83.731.443,2018-06-25T09:26:53Z,http://www.wendys.com and http://wendys.com
60,Wendy's,Fast Food Restaurants,30907,Augusta,430 S Belair Rd,33.486.344,-8.213.351,2018-06-25T09:26:53Z,http://wendys.com and http://www.wendys.com
61,Wendy's,Fast Food Restaurant,31061,Milledgeville,2341 N Columbia St,33.108.582,-83.254.192,2018-06-25T09:26:53Z,http://www.wendys.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJYD3APfFyZb1SUEABa1jmpS3OwA6Ks1I57XZf6k02m5Dvu9lByiHtpkoNNoG8cU_ZaobcdIQRWWL0md66ueT5A43ZGYiNwtovEGOgxdPQDfBzBm_AmXzmBTBk62JzmDO7Dtx-HHkNoox5ES3Ec5dXFLuW5rWaPa1RvXLXPzhDXm3S_YlAKU2Boro-4PLACNUmcza8nrVy_fzm0xyTULUoEEZ9wFukyZHufUtWn-LoyAAUrKHW_eNWV5yj61VM-YKgztWPxr1m69CU3Xcnsy9RtabxZMeaeGXJWfgH0dotSNjDkyPtXFSEVmYtKsAZJBPQgMVY7eZIMgUPPdIqHv5K0g&placement=listing_profile&cs_user=unknown&cs_session=e403c58902631e046092996f08c79277aa889e60
62,Wendy's,Fast Food Restaurant and Burger Joint,30052,Loganville,260 Cooper Rd,33.880.381,-83.939.657,2018-06-25T09:26:52Z,http://www.wendys.com and http://wendys.com
63,Wendy's,Fast Food Restaurant,30052,Loganville,4331 Atlanta Hwy,33.839.726,-83.905.798,2018-06-25T09:26:52Z,http://www.wendys.com
64,Wendy's,Fast Food Restaurant,30038,Lithonia,3015 Panola Rd,33.699.522,-8.417.274,2018-06-25T09:26:51Z,http://www.wendys.com
65,Burger King,Fast food restaurants,1923,Danvers,184 Endicott St,42.547.923,-70.942.014,2018-06-25T09:01:05Z,http://www.bk.com
66,Boston Road Pizza,Fast Food Restaurants,1119,Springfield,1291 Boston Rd,42.140.526,-7.250.087,2018-06-25T09:01:04Z,http://bostonroadpizza.com
67,McDonald's,Fast Food Restaurant,44266,Ravenna,6134 State Route 14,41.157.059,-81.219.054,2018-06-25T09:01:01Z,http://mcdonalds.com
68,Boston Market,Fast Food Restaurant,76016,Arlington,4402 Little Rd,32.679.467,-97.195.027,2018-06-25T09:01:00Z,http://www.bostonmarket.com and http://bostonmarket.com
69,D'Angelo Grilled Sandwiches,Fast Food Restaurants,2703,Attleboro,15 Highland Ave,4.192.023.235,-7.135.787.658,2018-06-25T09:00:58Z,http://www.dangelos.com and http://dangelos.com
70,Burger King,Fast Food,92019,El Cajon,2992 Jamacha Rd,32.739.923,-116.942.156,2018-06-25T09:00:55Z,http://www.burgerking.com/ and http://www.bk.com
71,Boston Market,Fast Food Restaurants,92020,El Cajon,706 Fletcher Pkwy,3.280.827,-11.697.137,2018-06-25T09:00:55Z,http://www.bostonmarket.com and https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735
72,Boston Market,Fast Food Restaurant,92020,El Cajon,706 Fletcher Pkwy,3.280.827,-11.697.137,2018-06-25T09:00:55Z,http://www.bostonmarket.com and https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735
73,Burger King,Fast food restaurants,92020,El Cajon,822 N Johnson Ave,32.805.945,-116.971.542,2018-06-25T09:00:55Z,http://www.burgerking.com/
74,Nino's Pizzarama,Fast Food Restaurants,19090,Willow Grove,2819 Easton Rd,40.170.877,-75.127.393,2018-06-25T09:00:51Z,http://www.ninospizzarama.com and http://ninospizzarama.net
75,Carl's Jr,Fast Food Restaurant,92335,Fontana,8924 Sierra Ave,34.091.528,-11.743.637,2018-06-25T09:00:44Z,http://www.carlsjr.com
76,Carl's Jr,Fast Food,91316,Encino,18025 Ventura Blvd,3.416.469,-11.852.474,2018-06-25T09:00:41Z,http://www.carlsjr.com/
77,Burger King,Fast food restaurants,92024,Encinitas,242 N El Camino Real,33.051.949,-117.260.994,2018-06-25T09:00:41Z,http://www.burgerking.com/
78,Carl's Jr,Fast Food Restaurant,90241,Downey,9002 Firestone Blvd,3.393.527.552,-1.181.238.946,2018-06-25T09:00:36Z,http://www.carlsjr.com
79,Carl's Jr,Fast Food Restaurants,90242,Downey,9110 Imperial Hwy,3.391.684.597,-1.181.337.577,2018-06-25T09:00:36Z,http://www.carlsjr.com
80,Filippi's Pizza Grotto,Fast Food Restaurants,92109,San Diego,962 Garnet Ave,32.797.188,-1.172.525,2018-06-25T09:00:33Z,http://www.realcheesepizza.com and http://www.realcheesepizza.com/web/locations/pb.html
81,Burger King,Fast food restaurants,77433,Cypress,7011 Barker Cypress Rd,2.988.081,-95.683.922,2018-06-25T09:00:32Z,http://www.bk.com
82,Burger King,Fast Food Restaurant and Burger Joint,77433,Cypress,7011 Barker Cypress Rd,2.988.081,-95.683.922,2018-06-25T09:00:32Z,http://www.bk.com
83,Boston Market,Fast Food Restaurant,94523,Pleasant Hill,2180 Contra Costa Blvd,37.946.879,-122.060.174,2018-06-25T09:00:30Z,http://www.bostonmarket.com and https://bostonmarket.com/location/pleasant-hill-ca-1961/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=1961
84,Jack in the Box,Fast Food,94546,Castro Valley,3035 Castro Valley Blvd,37.695.437,-122.081.735,2018-06-25T09:00:29Z,http://www.jackinthebox.com and http://www.jackinthebox.com/
85,Round Table Pizza,Fast Food,95129,San Jose,4302 Moorpark Ave,37.315.904,-121.977.843,2018-06-25T09:00:28Z,http://www.roundtablepizza.com/ and http://roundtablepizza.com
86,El Pollo Loco,Fast Food Restaurants,90220,Compton,1751 S Alameda St,33.894.566,-118.220.228,2018-06-25T09:00:23Z,http://www.elpolloloco.com
87,Arby's,Fast Food Restaurant,91915,Chula Vista,2244 Otay Lakes Rd,32.646.857,-116.967.527,2018-06-25T09:00:22Z,http://www.arbys.com and https://locations.arbys.com/us/ca/chula-vista/2244-otay-lakes-rd.html and http://www.arbys.com/
88,Burger King,Fast food restaurants,95926,Chico,962 East Ave,3.976.117,-121.842.187,2018-06-25T09:00:18Z,https://locations.bk.com/ca/chico/962-east-ave.html and http://www.bk.com
89,In-N-Out Burger,Fast Food Restaurants,93420,Arroyo Grande,1170 W Branch St,351.273,-120.598,2018-06-25T09:00:17Z,http://www.in-n-out.com
90,Copper Oven Artisan Pizza,Fast Food Restaurants,92260,Palm Desert,73196 Highway 111,3.372.118,-11.638.791,2018-06-25T09:00:15Z,http://copperovenartisanpizza.com
91,Carl's Jr,Fast Food Restaurant,91304,Canoga Park,20900 Roscoe Blvd,34.218.957,-11.858.903,2018-06-25T09:00:12Z,http://www.carlsjr.com and http://www.carlsjr.com/
92,McDonald's,Fast Food Restaurant,95010,Capitola,1760 41st Ave,36.975.287,-121.963.929,2018-06-25T09:00:10Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1Dtta5XsdiyvBJEV0mlmPAVL2Pu6RmeqLjpOAn33qz2UnedC1_zx5rpnLNrmgDLP8JD5ybb_0Q39GTiHHETlR-P6De5PcnwdlW-y8vyj8ebfPFpzbn9rFADOxR89FY8oXj4UIhDD_VtoRyzgHJH5V9Y-VMW6tYYPV1Mo1HKgwIeySRaqAGLkVvLdGz_CsMZ1suQUbuVO4npEtgjXhkTN1M6U6OnMStBos6B3SKu2FskRfaKS79IW6dtIJMgMX6YDrO3fsrAwOvRxD3y_9wUQipDE74g-3ujGiLw9Hu1VZzqhXGXny8vDUMMm7W9lxwbR6gY5u0kN8pas5HAodV4YJoO2wlriR6AFoJf1&placement=listing_profile.b&cs_user=unknown&cs_session=563e0edec6600f42076961856207b2e00e43040a
93,Carl's Jr,Fast Food Restaurant,93010,Camarillo,401 Las Posas Rd,34.221.478,-119.070.243,2018-06-25T09:00:07Z,http://www.carlsjr.com
94,Del Taco,Fast Food Restaurant and Mexican Restaurant and and Taco Place,92311,Barstow,2871 Lenwood Rd,34.867.566,-117.114.747,2018-06-25T09:00:04Z,http://www.deltaco.com
95,Del Taco,Fast Food Restaurant,91706,Baldwin Park,12690 Ramona Blvd,34.077.713,-117.996.169,2018-06-25T09:00:03Z,http://www.deltaco.com/ and http://www.deltaco.com
96,Little Caesars Pizza,Fast Food,91744,La Puente,1210 N Hacienda Blvd,340.422.696,-1.179.493.495,2018-06-25T09:00:03Z,http://www.littlecaesars.com and http://www.littlecaesars.com/
97,McDonald's,Fast Food Restaurant,93514,Bishop,562 N Main St,37.365.314,-11.839.508,2018-06-25T09:00:02Z,http://mcdonalds.com
98,McDonald's,Fast Food Restaurants,31709,Americus,1310 E Lamar St,3.207.128,-84.216.974,2018-06-25T09:00:00Z,http://mcdonalds.com and http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJLAJ_vfQBtbvB4zGTnIYoWRbIEgmM7GACT2nb6P4T534O6zsqWMT1dGYn2yZmThdG2l6bxRAehX9MMRYzPPYWyr41EJtdRX7k2W2WlBonHxD4LoeEKDlC6HoS_lxNDt4TdZGM073h_gpe34ufzx1v9MJp9LaquUJq-1ADLw6yAaZQYpZYbTJ6EcC6EfvO9ETkn3vDUWIRGp_dWtsgvTj2j_rMgdtj0BF2b71HuiaZF9wJxPHjZM0xyP5GAMXUbwE9Eil7_kubblHoZV1pgJy9TsaPTE2jphduEIq5AoFtq0Xr5preciKefI9xkeVpjaUUFPnXuPQd2tiRlJ_TWt5Z4N7qfdZS2BAJ&placement=listing_profile&cs_user=unknown&cs_session=387e0e1c0d4afa4d7f617762d1f04373dd312c3d
99,Burger King,Fast Food Restaurant,29621,Anderson,2009 E Greenville St,3.454.701,-826.319,2018-06-25T08:59:54Z,https://locations.bk.com/sc/anderson/2009-e-greenville-st.html and http://www.bk.com
100,Carl's Jr,Fast Food Restaurant,91803,Alhambra,2521 W Commonwealth Ave,34.088.183,-118.151.437,2018-06-25T08:59:53Z,http://www.carlsjr.com and http://www.carlsjr.com/ and http://carlsjr.com
101,Sbarro,Fast Food Restaurants,30909,Augusta,3450 Wrightsboro Rd Ste 2340,3.346.734,-8.207.989,2018-06-25T08:59:52Z,http://www.sbarro.com
102,Casey's General Store,Fast Food,62447,Neoga,810 Oak Ave,39.321.895,-88.451.273,2018-06-25T08:59:51Z,http://www.caseys.com
103,Casey's General Store,Fast Food,62448,Newton,701 S Van Buren St,38.983.809,-88.161.001,2018-06-25T08:59:51Z,http://www.facebook.com/caseysgenstore
104,Chipotle Mexican Grill,Fast Food Restaurants,91311,Chatsworth,9175 De Soto Ave,3.423.765,-11.858.919,2018-06-25T08:59:47Z,http://www.chipotle.com and http://chipotle.com
